func,nthreads,iter,size,align,reuse,val,init,time_ns
erms,1,8192,1048576,0,0,0,w,328875117
temporal,1,8192,1048576,0,0,0,w,189311250
non_temporal,1,8192,1048576,0,0,0,w,1000358118
erms,1,8192,1048576,0,0,0,wz,298112125
temporal,1,8192,1048576,0,0,0,wz,311686166
non_temporal,1,8192,1048576,0,0,0,wz,961892779
erms,1,8192,1048576,0,0,0,r,297013598
temporal,1,8192,1048576,0,0,0,r,147411901
non_temporal,1,8192,1048576,0,0,0,r,983632799
erms,1,8192,1048576,0,0,1,w,298605649
temporal,1,8192,1048576,0,0,1,w,192753674
non_temporal,1,8192,1048576,0,0,1,w,1011803307
erms,1,8192,1048576,0,0,1,wz,306235109
temporal,1,8192,1048576,0,0,1,wz,187890206
non_temporal,1,8192,1048576,0,0,1,wz,1004092888
erms,1,8192,1048576,0,0,1,r,305157855
temporal,1,8192,1048576,0,0,1,r,194099552
non_temporal,1,8192,1048576,0,0,1,r,1024015661
erms,1,8192,1048576,0,1,0,w,323469749
temporal,1,8192,1048576,0,1,0,w,286489880
non_temporal,1,8192,1048576,0,1,0,w,999823540
erms,1,8192,1048576,0,1,0,wz,318957403
temporal,1,8192,1048576,0,1,0,wz,187518006
non_temporal,1,8192,1048576,0,1,0,wz,1007461194
erms,1,8192,1048576,0,1,0,r,307097231
temporal,1,8192,1048576,0,1,0,r,193471518
non_temporal,1,8192,1048576,0,1,0,r,1020318203
erms,1,8192,1048576,0,1,1,w,310653865
temporal,1,8192,1048576,0,1,1,w,227062759
non_temporal,1,8192,1048576,0,1,1,w,1013977048
erms,1,8192,1048576,0,1,1,wz,310924005
temporal,1,8192,1048576,0,1,1,wz,180862877
non_temporal,1,8192,1048576,0,1,1,wz,961476694
erms,1,8192,1048576,0,1,1,r,299113147
temporal,1,8192,1048576,0,1,1,r,214585467
non_temporal,1,8192,1048576,0,1,1,r,1015619296
erms,1,4096,2097152,0,0,0,w,301345287
temporal,1,4096,2097152,0,0,0,w,332321070
non_temporal,1,4096,2097152,0,0,0,w,1029769936
erms,1,4096,2097152,0,0,0,wz,333524441
temporal,1,4096,2097152,0,0,0,wz,335462125
non_temporal,1,4096,2097152,0,0,0,wz,1025459801
erms,1,4096,2097152,0,0,0,r,313834602
temporal,1,4096,2097152,0,0,0,r,319552860
non_temporal,1,4096,2097152,0,0,0,r,1008451017
erms,1,4096,2097152,0,0,1,w,326360610
temporal,1,4096,2097152,0,0,1,w,310838450
non_temporal,1,4096,2097152,0,0,1,w,1023988454
erms,1,4096,2097152,0,0,1,wz,334976773
temporal,1,4096,2097152,0,0,1,wz,327652306
non_temporal,1,4096,2097152,0,0,1,wz,1017652813
erms,1,4096,2097152,0,0,1,r,301351189
temporal,1,4096,2097152,0,0,1,r,305791230
non_temporal,1,4096,2097152,0,0,1,r,963230879
erms,1,4096,2097152,0,1,0,w,327371710
temporal,1,4096,2097152,0,1,0,w,301093917
non_temporal,1,4096,2097152,0,1,0,w,968562324
erms,1,4096,2097152,0,1,0,wz,324485627
temporal,1,4096,2097152,0,1,0,wz,314751850
non_temporal,1,4096,2097152,0,1,0,wz,1017295572
erms,1,4096,2097152,0,1,0,r,304103214
temporal,1,4096,2097152,0,1,0,r,315340142
non_temporal,1,4096,2097152,0,1,0,r,1016583648
erms,1,4096,2097152,0,1,1,w,326033230
temporal,1,4096,2097152,0,1,1,w,320780842
non_temporal,1,4096,2097152,0,1,1,w,979554914
erms,1,4096,2097152,0,1,1,wz,325964255
temporal,1,4096,2097152,0,1,1,wz,331393061
non_temporal,1,4096,2097152,0,1,1,wz,987060798
erms,1,4096,2097152,0,1,1,r,323820732
temporal,1,4096,2097152,0,1,1,r,335998455
non_temporal,1,4096,2097152,0,1,1,r,983287003
erms,1,2048,4194304,0,0,0,w,315525137
temporal,1,2048,4194304,0,0,0,w,346319045
non_temporal,1,2048,4194304,0,0,0,w,985241180
erms,1,2048,4194304,0,0,0,wz,324959369
temporal,1,2048,4194304,0,0,0,wz,326998372
non_temporal,1,2048,4194304,0,0,0,wz,962227111
erms,1,2048,4194304,0,0,0,r,300989969
temporal,1,2048,4194304,0,0,0,r,308192948
non_temporal,1,2048,4194304,0,0,0,r,986803197
erms,1,2048,4194304,0,0,1,w,336872026
temporal,1,2048,4194304,0,0,1,w,320715360
non_temporal,1,2048,4194304,0,0,1,w,1021808599
erms,1,2048,4194304,0,0,1,wz,314014282
temporal,1,2048,4194304,0,0,1,wz,345169277
non_temporal,1,2048,4194304,0,0,1,wz,1000525020
erms,1,2048,4194304,0,0,1,r,312395911
temporal,1,2048,4194304,0,0,1,r,331502808
non_temporal,1,2048,4194304,0,0,1,r,963227705
erms,1,2048,4194304,0,1,0,w,316186720
temporal,1,2048,4194304,0,1,0,w,334204510
non_temporal,1,2048,4194304,0,1,0,w,982748666
erms,1,2048,4194304,0,1,0,wz,324325932
temporal,1,2048,4194304,0,1,0,wz,338909849
non_temporal,1,2048,4194304,0,1,0,wz,970446199
erms,1,2048,4194304,0,1,0,r,325296816
temporal,1,2048,4194304,0,1,0,r,321132396
non_temporal,1,2048,4194304,0,1,0,r,963041011
erms,1,2048,4194304,0,1,1,w,326057600
temporal,1,2048,4194304,0,1,1,w,331682488
non_temporal,1,2048,4194304,0,1,1,w,982298250
erms,1,2048,4194304,0,1,1,wz,325319099
temporal,1,2048,4194304,0,1,1,wz,332310625
non_temporal,1,2048,4194304,0,1,1,wz,986371962
erms,1,2048,4194304,0,1,1,r,303026552
temporal,1,2048,4194304,0,1,1,r,345597872
non_temporal,1,2048,4194304,0,1,1,r,1024647607
erms,1,1024,8388608,0,0,0,w,326434112
temporal,1,1024,8388608,0,0,0,w,339817248
non_temporal,1,1024,8388608,0,0,0,w,1020700726
erms,1,1024,8388608,0,0,0,wz,331508972
temporal,1,1024,8388608,0,0,0,wz,337491321
non_temporal,1,1024,8388608,0,0,0,wz,967121823
erms,1,1024,8388608,0,0,0,r,330085415
temporal,1,1024,8388608,0,0,0,r,314359970
non_temporal,1,1024,8388608,0,0,0,r,994207296
erms,1,1024,8388608,0,0,1,w,326421223
temporal,1,1024,8388608,0,0,1,w,343784744
non_temporal,1,1024,8388608,0,0,1,w,988885575
erms,1,1024,8388608,0,0,1,wz,322307256
temporal,1,1024,8388608,0,0,1,wz,336605844
non_temporal,1,1024,8388608,0,0,1,wz,1049037586
erms,1,1024,8388608,0,0,1,r,317389946
temporal,1,1024,8388608,0,0,1,r,338895310
non_temporal,1,1024,8388608,0,0,1,r,969502092
erms,1,1024,8388608,0,1,0,w,324759686
temporal,1,1024,8388608,0,1,0,w,339245619
non_temporal,1,1024,8388608,0,1,0,w,1011826345
erms,1,1024,8388608,0,1,0,wz,328284706
temporal,1,1024,8388608,0,1,0,wz,332990959
non_temporal,1,1024,8388608,0,1,0,wz,1019215333
erms,1,1024,8388608,0,1,0,r,317902759
temporal,1,1024,8388608,0,1,0,r,337570738
non_temporal,1,1024,8388608,0,1,0,r,993018237
erms,1,1024,8388608,0,1,1,w,324885472
temporal,1,1024,8388608,0,1,1,w,346840938
non_temporal,1,1024,8388608,0,1,1,w,1023537146
erms,1,1024,8388608,0,1,1,wz,325011079
temporal,1,1024,8388608,0,1,1,wz,335789431
non_temporal,1,1024,8388608,0,1,1,wz,987075952
erms,1,1024,8388608,0,1,1,r,342320417
temporal,1,1024,8388608,0,1,1,r,344949390
